product_id,brand_class,colour,gender,type,price_pack
20608,high,black,women,dress,67.5
20609,high,pink,women,dress,28.5
20610,high,pink,women,dress,42.5
20611,high,pink,women,dress,67.5
20612,high,pink,women,dress,87.5
20613,high,pink,women,dress,97.0
20614,high,pink,women,dress,107.5
20615,high,pink,women,dress,108.0
20616,high,pink,women,dress,118.5
20617,high,green,women,dress,30.79
20618,high,green,women,dress,54.79
20619,high,gold,women,dress,74.5
20620,high,multicolor,women,dress,38.5
20621,high,multicolor,women,dress,160.0
20622,high,orange,women,dress,114.0
20623,high,black,women,dress,87.5
20624,high,red,women,dress,15.5
20625,high,pink,women,dress,38.5
20626,high,pink,women,dress,62.0
20627,high,pink,women,dress,100.5
20628,high,pink,women,dress,116.5
20629,high,green,women,dress,94.0
20630,middle,blue,men,tshirt,26.0
20631,middle,blue,men,tshirt,32.5
20632,middle,blue,women,tshirt,35.0
20633,middle,beige,men,tshirt,25.0
20634,middle,beige,men,top,80.0
20635,middle,beige,women,tshirt,28.0
20636,middle,white,men,tshirt,22.5
20637,middle,white,men,tshirt,27.0
20638,middle,white,men,sweatshirt,100.02
20639,middle,gray,men,top,32.5
20640,middle,gray,women,tshirt,15.0
20641,middle,gray,women,top,38.5
20642,middle,brown,women,tshirt,24.0
20643,middle,brown,women,top,36.0
20644,middle,purple,women,tshirt,27.5
20645,middle,purple,women,tshirt,32.0
20646,middle,purple,women,top,49.0
20647,middle,purple,women,tshirt,55.0
20648,middle,black,men,tshirt,25.0
20649,middle,black,women,tshirt,26.0
20650,middle,black,women,tshirt,31.5
20651,middle,pink,women,top,26.5
20652,middle,green,men,tshirt,27.0
20653,middle,green,women,tshirt,16.0
20654,middle,green,women,tshirt,24.0
20655,high,blue,men,sweatshirt,51.06
20656,high,beige,men,tshirt,22.0
20657,high,white,men,tshirt,15.0
20658,high,white,men,sweatshirt,30.67
20659,high,gray,men,sweatshirt,26.69
20660,high,purple,men,sweatshirt,37.04
20661,high,purple,men,sweatshirt,53.35
20662,high,purple,men,sweatshirt,67.98
20663,high,purple,men,sweatshirt,70.99
20664,high,orange,men,tshirt,28.0
20665,high,orange,men,sweatshirt,62.03
20666,high,black,men,sweatshirt,30.76
20667,high,black,men,sweatshirt,49.68
20668,high,red,men,sweatshirt,70.99
20669,low,blue,women,dress,12.0
20670,low,blue,women,tshirt,28.75
20671,low,beige,women,dress,14.5
20672,low,white,women,dress,24.99
20673,low,white,women,dress,24.99
20674,low,white,women,dress,24.99
20675,low,gray,women,dress,24.99
20676,low,multicolor,women,dress,20.0
20677,low,multicolor,women,shirt,39.5
20678,low,orange,women,tshirt,10.5
20679,low,black,women,tshirt,16.66
20680,low,black,women,dress,24.99
20681,low,black,women,dress,24.99
20682,low,blue,women,dress,22.75
20683,low,white,women,tshirt,10.5
20684,low,white,women,tshirt,10.5
20685,low,white,women,dress,24.99
20686,low,white,women,dress,24.99
20687,low,white,women,dress,24.99
20688,low,gray,women,dress,24.99
20689,low,purple,women,tshirt,10.5
20690,low,multicolor,women,dress,25.15
20691,low,orange,women,tshirt,10.5
20692,low,black,women,tshirt,10.5
20693,low,black,women,tshirt,21.5
20694,low,black,women,dress,24.99
20695,low,black,women,dress,24.99
20696,low,pink,women,dress,9.0
20697,low,pink,women,tshirt,15.0
20698,low,green,women,dress,9.5
20699,middle,black,women,dress,11.0
20700,low,yellow,women,tshirt,8.43
20701,low,yellow,women,tshirt,9.5
20702,low,yellow,women,dress,17.5
20703,low,yellow,women,dress,26.5
20704,low,yellow,women,dress,34.0
20705,low,yellow,women,dress,38.5
20706,low,blue,men,tshirt,10.0
20707,low,blue,women,top,9.0
20708,low,blue,women,top,10.5
20709,low,blue,women,tshirt,12.0
20710,low,blue,women,dress,15.5
20711,low,blue,women,dress,15.5
20712,low,blue,women,dress,19.0
20713,low,blue,women,dress,20.34
20714,low,blue,women,dress,23.0
20715,low,blue,women,dress,23.5
20716,low,blue,women,dress,24.0
20717,low,blue,women,dress,24.0
20718,low,blue,women,dress,24.25
20719,low,blue,women,dress,26.5
20720,low,blue,women,dress,29.5
20721,low,blue,women,dress,30.0
20722,low,beige,men,tshirt,10.0
20723,low,beige,women,dress,11.0
20724,low,beige,women,dress,20.0
20725,low,beige,women,dress,29.5
20726,low,beige,women,dress,34.0
20727,low,white,men,tshirt,8.5
20728,low,white,men,shirt,21.99
20729,low,white,men,shirt,26.99
20730,low,white,women,tshirt,7.0
20731,low,white,women,tshirt,9.5
20732,low,white,women,tshirt,9.5
20733,low,white,women,top,11.5
20734,low,white,women,dress,14.0
20735,low,white,women,dress,14.5
20736,low,white,women,dress,16.0
20737,low,white,women,dress,18.0
20738,low,white,women,dress,20.5
20739,low,white,women,dress,21.0
20740,low,white,women,dress,23.0
20741,low,white,women,dress,24.0
20742,low,white,women,dress,25.0
20743,low,white,women,dress,25.5
20744,low,white,women,dress,26.0
20745,low,white,women,dress,26.76
20746,low,white,women,dress,29.0
20747,low,white,women,dress,31.0
20748,low,white,women,dress,32.0
20749,low,white,women,dress,33.0
20750,low,white,women,dress,36.0
20751,low,gray,men,tshirt,11.5
20752,low,gray,men,tshirt,16.5
20753,low,gray,women,tshirt,12.0
20754,low,gray,women,tshirt,13.5
20755,low,gray,women,dress,26.0
20756,low,brown,men,tshirt,10.0
20757,low,brown,men,tshirt,19.0
20758,low,brown,women,dress,12.0
20759,low,brown,women,dress,12.89
20760,low,brown,women,top,13.0
20761,low,brown,women,dress,16.5
20762,low,brown,women,dress,19.0
20763,low,brown,women,dress,22.5
20764,low,brown,women,dress,23.5
20765,low,brown,women,dress,25.5
20766,low,brown,women,dress,27.99
20767,low,brown,women,dress,28.0
20768,low,brown,women,dress,29.5
20769,low,brown,women,dress,29.5
20770,low,brown,women,dress,31.0
20771,low,brown,women,dress,32.5
20772,low,brown,women,dress,36.0
20773,low,purple,women,dress,19.0
20774,low,purple,women,dress,20.5
20775,low,purple,women,dress,21.0
20776,low,purple,women,dress,23.0
20777,low,purple,women,dress,26.5
20778,low,multicolor,women,tshirt,16.0
20779,low,multicolor,women,dress,20.0
20780,low,multicolor,women,tshirt,7.833333333333333
20781,low,orange,women,tshirt,16.5
20782,low,orange,women,dress,27.5
20783,low,orange,women,dress,36.0
20784,low,black,women,top,7.5
20785,low,black,women,dress,9.5
20786,low,black,women,tshirt,10.0
20787,low,black,women,tshirt,10.5
20788,low,black,women,top,10.5
20789,low,black,women,tshirt,11.5
20790,low,black,women,tshirt,11.5
20791,low,black,women,dress,11.5
20792,low,black,women,dress,11.5
20793,low,black,women,tshirt,12.0
20794,low,black,women,tshirt,12.0
20795,low,black,women,dress,12.0
20796,low,black,women,dress,12.79
20797,low,black,women,dress,13.5
20798,low,black,women,dress,13.59
20799,low,black,women,dress,13.59
20800,low,black,women,dress,13.99
20801,low,black,women,dress,14.0
20802,low,black,women,dress,14.0
20803,low,black,women,dress,14.0
20804,low,black,women,dress,14.0
20805,low,black,women,dress,14.0
20806,low,black,women,dress,14.0
20807,low,black,women,dress,14.0
20808,low,black,women,dress,14.5
20809,low,black,women,dress,14.5
20810,low,black,women,dress,15.0
20811,low,black,women,dress,15.0
20812,low,black,women,dress,15.0
20813,low,black,women,top,15.5
20814,low,black,women,top,16.0
20815,low,black,women,dress,16.5
20816,low,black,women,top,16.99
20817,low,black,women,top,17.0
20818,low,black,women,top,17.0
20819,low,black,women,dress,18.49
20820,low,black,women,dress,19.0
20821,low,black,women,dress,19.5
20822,low,black,women,dress,19.5
20823,low,black,women,dress,19.5
20824,low,black,women,dress,20.0
20825,low,black,women,dress,20.0
20826,low,black,women,dress,20.0
20827,low,black,women,dress,20.0
20828,low,black,women,dress,21.0
20829,low,black,women,dress,22.0
20830,low,black,women,dress,22.5
20831,low,black,women,dress,22.5
20832,low,black,women,dress,23.0
20833,low,black,women,dress,24.0
20834,low,black,women,dress,25.0
20835,low,black,women,dress,26.0
20836,low,black,women,dress,26.0
20837,low,black,women,dress,26.0
20838,low,black,women,dress,26.39
20839,low,black,women,dress,27.0
20840,low,black,women,dress,27.0
20841,low,black,women,dress,28.0
20842,low,black,women,dress,28.0
20843,low,black,women,dress,28.0
20844,low,black,women,dress,29.5
20845,low,black,women,dress,29.5
20846,low,black,women,dress,31.0
20847,low,black,women,dress,31.44
20848,low,black,women,dress,31.5
20849,low,black,women,dress,31.5
20850,low,black,women,dress,33.0
20851,low,black,women,dress,33.0
20852,low,black,women,dress,34.0
