brand,description,price,colour,colour_simp,colour_simp2
Daisy Street Plus,Vestido corto a rayas arcoíris de corte amplio de lino de Daisy Street Plus,"39,50 €",lino arcoiris,,
Daisy Street,Vestido corto multicolor a rayas de corte amplio de lino de Daisy Street,"39,50 €",lino arcoiris,,
French Connection,Vestido ajustado con estampado de cebra de punto Manhatten de French Connection,"62,99 €",cebra,,
Lee Jeans,Vestido camisero vaquero corto con lavado claro de Lee,"87,99 €",lavado claro,,
ASOS Petite,"Vestido corto con escote cuadrado, cinturón y estampado floral retro de sarga de ASOS DESIGN Petite","30,00 €",floral retro,,
ASOS DESIGN,Vestido largo color vainilla de manga larga de croché de ASOS DESIGN,"34,00 €",nata,,
Miss Selfridge,Vestido midi color moca con lavado ácido de Miss Selfridge,"22,50 €",turron,,
The Frolic,"Vestido midi con estampado floral vintage, cuerpo fruncido y tirantes anudados de The Frolic","38,50 €",flores vintage,,
ASOS DESIGN,Vestido midi negro cruzado y escalonado de manga corta con estampado de lunares de ASOS DESIGN,"30,00 €",base negra con lunares,,
ASOS DESIGN,"Vestido midi rojo plisado con escote cuadrado, manga abombada y estampado de margaritas de ASOS DESIGN","36,00 €",margaritas rojas,,
Bolongaro Trevor,Vestido camisero corto color baya de terciopelo de Bolongaro Trevor,"76,99 €",arandano,,
ASOS Curve,Vestido midi blanco de manga corta cruzado con diseño escalonado y estampado de lunares de ASOS DESIGN Curve,"30,00 €",base blanca con lunares,,
French Connection,Vestido midi beis estilo cárdigan de French Connection,"82,99 €",sabbia,,
French Connection,Vestido midi rosa con abertura lateral de punto de French Connection,"62,99 €",fuchsia,,
Only Curve,Vestido camisero corto naranja de Only Curve,"36,99 €",tigerlily,,
ASOS DESIGN,Vestido veraniego midi de tirantes con diseño fruncido suave y estampado floral desdibujado de ASOS DESIGN,"21,50 €",flores difuminadas,,
Signature 8,Vestido vaquero corto con lavado medio y cuello halter de Signature 8,"33,00 €",lavado medio,,
ASOS Curve,Vestido midi de manga larga con estampado de cebra y diseño enrejado en la espalda de malla de ASOS DESIGN Curve,"40,00 €",cebra,,
ASOS Tall,Vestido midi verde pistacho fruncido con bajo asimétrico de tejido texturizado de ASOS DESIGN Tall,"42,50 €",pistacho,,
Never Fully Dressed,Vestido lencero con estampado de cachemir de satén de Never Fully Dressed,"87,50 €",cachemir,,
Dr Denim,Vestido corto marrón con cremallera de punto de Dr Denim,"60,00 €",nuez,,
Dr Denim,Vestido corto negro con cremallera de punto de Dr Denim,"52,00 €",grafito,,
Dr Denim Plus,Vestido estilo pichi color carbón holgado de Dr Denim Plus,"57,50 €",grafito lavado,,
ASOS DESIGN,Vestido midi verde pistacho fruncido con bajo asimétrico de tejido texturizado de ASOS DESIGN,"42,50 €",pistacho,,
Y.A.S Petite,Vestido midi color crema amplio con cuerpo fruncido y bordado floral de Y.A.S Petite,"90,00 €",macadamia,,
ASOS DESIGN,Vestido corto de manga larga con estampado floral de estilo grunge y volantes en el bajo de chifón de ASOS DESIGN,"28,00 €",floral grunge,,
