brand,description,price,colour,colour_simp,colour_simp2
AllSaints,Vestido en tonos burdeos Elodie de AllSaints,"119,50 €",miel especiada,,
Vero Moda,Vestido corto amplio estampado de Vero Moda,"16,50 €",rainy day,,
Lola May,Vestido camisero corto color terracota con lazada en la cintura de Lola May,"17,50 €",terracota,,
Glamorous,Vestido midi negro amplio con estampado de florecitas y bajo plisado de Glamorous,"24,99 €",margaritas negras,,
Selected,Vestido midi amarillo con textura de Selected Femme,"61,00 €",citrico,,
Liquorish,Vestido midi gris de manga corta de Liquorish,"14,69 €",tropical,,
River Island,Vestido camisero corto negro con estampado estilo fular de River Island,"35,00 €",bufanda negra,,
Forever U,Vestido camisero con estampado de cebra de Girl In Mind,"18,75 €",cebra,,
Glamorous,Vestido midi cruzado con estampado de cerezas de Glamorous,"17,75 €",cerezas,,
Ghospell,Vestido camisero corto verde pistacho con diseño cruzado de Ghospell,"62,50 €",pistacho,,
Hollister,Vestido vaquero corto azul añil con mangas abullonadas y espalda anudada de Hollister,"29,50 €",denim color anil,,
Vero Moda,Vestido corto ajustado con detalle fruncido y estampado floral mixto de Vero Moda,"15,50 €",mezcla floral,,
Forever New Curve,"Vestido corto verde con estampado de florecitas, mangas de estilo blusón y lazada en la cintura de Forever New Curve","35,50 €",floral blush,,
Miss Selfridge,Vestido midi fruncido con estampado animal de Miss Selfridge,"30,00 €",ta1,,
ASOS Petite,"Vestido veraniego corto color rubor con bordado inglés, aberturas y volantes en los tirantes de ASOS DESIGN Petite","17,75 €",rubor,,
Object,Vestido verde con volantes Eddy de Object,"39,25 €",sombra,,
In The Style,Vestido estilo camiseta extragrande de color verde salvia efecto tie dye de In The Style,"12,95 €",sage,,
Dickies,Camiseta verde con estampado en la espalda Sandy Level de Dickies,"26,50 €",adventurine,,
Dickies,Camiseta verde oscuro con logo universitario Stephens City de Dickies,"22,00 €",adventurine,,
Dickies,Camiseta azul real con estampado del yin yang en la espalda Montross de Dickies,"26,50 €",cielo satinado,,
ASOS DESIGN,Camiseta color crudo jaspeado de corte boyfriend con detalle de bolsillo de tejido grueso de ASOS DESIGN,"19,00 €",marga cruda,,
Levi's,Camiseta azul marino con logo estampado en forma de ala de murciélago Perfect de Levi's,"19,00 €",flores kinsley,,
Levi's,Camiseta rosa con logo Poster Perfect de Levi's Plus,"25,50 €",poster cromado claro,,
Levi's,Camiseta morada con estampado de logo en forma de ala de murciélago Perfect de Levi's Plus,"21,00 €",501 logo murcielago relleno,,
Levi's,Camiseta blanca con estampado de logo en forma de ala de murciélago Perfect de Levi's Plus,"16,50 €",501 logo murcielago relleno,,
Polo Ralph Lauren,Top gris de manga larga con cuello henley de Polo Ralph Lauren,"144,50 €",brezo andover,,
ASOS Tall,Camiseta color caramelo sin mangas con cuello ancho de mezcla de algodón orgánico Ultimate de ASOS DESIGN Curve,"3,99 €",caramelo,,
